,CompanyName,RegAddress.County, CompanyNumber
103386,A1 QUALITY CONSTRUCTION LIMITED,,11628047
191740,AGM PLASTICS LIMITED,CLWYD,06119876
586226,BISHOP & SEWELL SECRETARIES LIMITED,,05467422
223495,ALBENATEM LTD,,12821212
522073,BEAUTY INTERNATIONAL LIMITED,KENT,01823031
515251,BEACON DIAMOND DEVELOPMENTS LTD.,,02541903
158816,ADD TALENT NETWORK LIMITED,,08624288
588870,BITTERLEY BIOGAS AD LIMITED,,10226420
394057,ASSAY HOUSE SERVICE COMPANY LIMITED,,12955620
724963,BUNCHER AND HASELER LIMITED,BIRMINGHAM,00117645
646181,BOSS BUSINESS INTERIORS LIMITED,MID GLAMORGAN,06238441
93580,A-RICH NUTRITION LTD,,11590481
175846,AEB ASSOCIATES LIMITED,,09044745
312742,ANNEX EXCHANGE LIMITED,LONDON,10233875
781536,CAMHUN ACCOUNTING LTD,,10894024
358032,ARL COMMODITIES LIMITED,,08689777
74852,A & R CATERING LTD,WEST MIDLANDS,10201549
15009,168MEDIA LTD,,12738543
663904,BRANAS ISAF (DEWIS CYFARFOD & CYSGOD CYFARFOD) LIMITED,HERTFORDSHIRE,04828115
790406,CANWICK UK LTD,,11947298
58133,5RV LIMITED,,11049703
33589,2SQUEAKYCLEAN LTD,,12701092
827725,CATE ANDERSON COPYWRITER LTD,,10799660
658373,BRACKEN HOMES LTD,SURREY,11356338
81102,A HERITAGE WINDOW CO. LTD,,10844463
443409,AXIOM INTEGRATED SERVICES LTD,LONDON,07421591
411507,ATLAS HIGH PERFORMANCE ACADEMY LTD.,,12319790
764488,CADSOFT CONSULTANTS LIMITED,,03522772
390205,ASONS LIMITED,,11173585
332784,APPLIED WINDOWS DOORS AND PLASTICS LTD,,11946799
664551,BRAND HIPPO LIMITED,,10243751
753520,C&H NAILS SUPPLY LIMITED,,12097943
436448,AVIVA COMMERCIAL FINANCE LIMITED,,02559391
833519,CAZMEL SOLUTIONS LTD,LANARKSHIRE,SC584709
289757,AN ELEGANT SOLUTION LIMITED,WEST MIDLANDS,08055793
47949,42 LIMES GROVE RTM COMPANY LIMITED,,12107752
304893,ANGELS INVESTMENTS LTD,,12211829
385797,ASHTON UNITED IN THE COMMUNITY,,CE006203
599005,BLACKLEDGE LTD,,12395867
507569,BBA CONSULTING LTD,SOUTH YORKSHIRE,04284394
716541,BUCKINGHAM BROWN LIMITED,ISLE OF WIGHT,07814516
275732,AMBIT CHALK FARM LTD,,09552947
96064,A.B. RACING LIMITED,SUFFOLK,04651021
466466,BACKUS GROUP LIMITED,OXFORDSHIRE,09859165
291266,ANAMAK LTD,EAST SUSSEX,12163315
188999,AGENDA ELECTRICAL LIMITED,,07318120
691884,BRITISH SOCIETY FOR COLPOSCOPY AND CERVICAL PATHOLOGY,,CE020817
695507,BROADWALK PARTNER LIMITED,,06271509
402094,ASTONMONT LIMITED,,09211403
168051,ADRIAWILDLIFE TOURS LIMITED,SOMERSET,11827454
784964,CANAL SIDE MEWS MANAGEMENT LIMITED,,03983879
670807,BRECKNOCK FISH LTD,,11601958
538917,BELOW THE BELT LTD,,12609695
270971,AMANDAVID LTD,SOUTH YORKSHIRE,11289042
517050,BEANNCHOR SOLUTIONS LIMITED,,NI604493
37025,32 SISTERS MANAGEMENT LIMITED,,03850244
151435,ACTON LOCKSMITHS LIMITED,,04781091
501574,BATH STREET BARS LIMITED,,07812363
668181,BRAVO THREE LTD,,12822095
119162,ABDEEN (U.K.) LIMITED,,02037422
776535,CAMBERLEY HEALTHCARE LLP,SURREY,OC377731
650595,BOURNEVILLE LTD,DORSET,09111932
383462,ASHLEIGH MANOR RESIDENTIAL CARE HOME LTD,DEVON,04707539
331943,APPLIA CONSULTING & MANAGEMENT SERVICES LIMITED,CAMBRIDGESHIRE,08308393
824595,CASTLEBRIDGE GROUP LIMITED,,04701074
71483,@ CLEEVE HILL LTD,SOMERSET,11723541
7481,111 QR FREEHOLD LIMITED,WEST SUSSEX,11058260
239960,ALISON PAUL DESIGNS LIMITED,MERSEYSIDE,06472307
340168,AR OFFSHORE SERVICES LIMITED,NORFOLK,11580400
442384,AXA ROSENBERG GLOBAL INVESTMENT COMPANY ICVC,,IC000028
264775,ALTORFER FINANCIAL MANAGEMENT LIMITED,"HERTS,",02486396
369698,ARTIGIANO LIMITED,,11052691
676921,BRICKSMORTAR INVESTMENTS LIMITED,,05344844
472080,BAKER HUGHES PRESSURE CONTROL LIMITED,,SC057020
376074,ASC & JKC GROUP LTD,,12770108
37462,33 HURON ROAD LIMITED,,06628510
673697,BREW BROTHERS (KENDAL) LTD,,06705728
458235,B-TWN INTERNATIONAL LIMITED,,09689458
33389,2PM CONSULTANTS LTD,DEVON,11726407
777928,CAMBRIDGE EDUCATION CORPORATION LIMITED,,11562064
90625,A&B DELIVERIES LTD,,12932499
789207,CANOVA HOME AND FRAGRANCE LIMITED,HEREFORDSHIRE,05643353
801843,CARE & SUPPORT SOLUTIONS (NORTH EAST) LIMITED,CLEVELAND,07574907
805284,CARGLASS INSTALLATIONS LTD,,12827699
19250,1ST AID YORKSHIRE LIMITED,WEST YORKSHIRE,06514867
195953,AHK SPORTS LIMITED,DERBYSHIRE,12777384
611417,BLS BUILDERS LTD,,10034024
520335,BEAUMONT LEAF LIMITED,NORTHUMBERLAND,11307562
